GeoName,LineCode,Description,y1960,y1961,y1962,y1963,y1964,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021
South Dakota,2,Population (persons) 1/,683000,693000,705000,708000,701000,692000,683000,671000,669000,668000,666641,671382,677389,678939,679877,681420,686843,688992,689293,689018,690851,689584,690597,693009,697250,698404,696036,696034,698160,696698,697101,703669,712801,722159,730790,737925,742213,744223,746058,750412,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816078,823160,832800,841206,847634,852134,860650,870163,875300,882507,887099,895376
South Dakota,3,Per capita personal income (dollars) 2/,1940,1924,2154,2081,2062,2350,2574,2662,2861,3108,3386,3684,4215,5310,5313,5829,5726,6477,7460,8222,8269,9646,10151,10491,11864,12143,12711,13413,13962,15060,16475,17006,18156,18737,19962,20169,22157,22582,24277,25306,26825,27645,27572,29972,32025,33788,35299,38748,41168,39518,41423,44758,45442,45608,47488,49186,49192,50350,52590,55011,59656,64720
Tennessee,1,Personal income (millions of dollars),5931,6277.8,6667.6,7071.8,7604.2,8286.5,9123.200000000001,9769.9,10893.8,11815.6,12849.4,14188.1,15970.6,18141.7,20073.6,21893.6,24519.7,27175.8,30979.3,34543.7,38078,42383.3,45046.2,48057.1,53481.4,57207.5,61216.4,65941,71646,76927.8,81783.89999999999,86008.89999999999,94052.89999999999,100091.8,106496.6,114364.9,120799,127953,139897.2,145517.2,154378.5,158384.6,162942.4,170160.3,180115.4,189003.8,201325.2,210986.9,219027.3,217218.6,227883,241617.6,254470.6,256753.8,267288.7,281281.1,290239.9,303062.7,319949.3,334750.2,351546.3,382748.6
Tennessee,2,Population (persons) 1/,3575000,3622000,3673000,3718000,3771000,3798000,3822000,3859000,3878000,3897000,3936975,4010238,4088445,4138417,4201621,4260829,4329160,4401939,4461639,4533297,4600252,4627662,4646043,4659757,4686743,4715292,4738708,4782939,4822438,4854432,4894492,4966587,5049742,5137584,5231438,5326936,5416643,5499233,5570045,5638706,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6356320,6404344,6463111,6507640,6558710,6612901,6672356,6739437,6806545,6862378,6920119,6975218
Tennessee,3,Per capita personal income (dollars) 2/,1659,1733,1815,1902,2016,2182,2387,2532,2809,3032,3264,3538,3906,4384,4778,5138,5664,6174,6943,7620,8277,9159,9696,10313,11411,12132,12918,13787,14857,15847,16709,17318,18625,19482,20357,21469,22301,23267,25116,25807,27066,27541,28113,29098,30472,31548,33065,34164,35059,34446,35851,37727,39373,39454,40753,42535,43499,44969,47006,48781,50801,54873
Texas,1,Personal income (millions of dollars),19437.8,20546,21582.3,22539.1,24171.3,26016.7,28468.5,31101,34653.9,38575,42497,46116.2,51173.4,58113,65532.3,74746.7,84227.60000000001,93978.60000000001,108293.3,124677.5,143140.3,168292.4,185542.6,198083.6,216833.9,233562,238934.1,243559.4,258240.4,275917.1,297726.3,311370.4,336646,356399.2,376613.6,402805.3,433164.9,472178.4,515146.6,545418.2,594466,631990.8,640381.6,665861.1,698584.4,757968.6,832292.1,883810.4,971051.2,924343.9,985165.1,1077403.3,1152725.2,1184840.5,1274636.9,1300510.1,1296480.8,1387824.3,1483121.6,1544020.7,1618635.1,1762054.9
Texas,2,Population (persons) 1/,9624000,9820000,10053000,10159000,10270000,10378000,10492000,10599000,10819000,11045000,11236772,11509640,11758760,12018970,12267865,12568182,12903268,13191790,13497726,13887312,14338208,14746318,15331408,15751674,16007088,16272722,16561103,16621767,16667040,16806729,17056755,17398005,17759738,18161612,18564062,18958751,19340342,19740317,20157531,20558220,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25238863,25630063,26055816,26438164,26907878,27399070,27830020,28192251,28510878,28857754,29217653,29527941
Texas,3,Per capita personal income (dollars) 2/,2020,2092,2147,2219,2354,2507,2713,2934,3203,3493,3782,4007,4352,4835,5342,5947,6528,7124,8023,8978,9983,11413,12102,12575,13546,14353,14427,14653,15494,16417,17455,17897,18956,19624,20287,21246,22397,23919,25556,26530,28383,29644,29524,30224,31195,33276,35630,37085,39946,37269,39034,42037,44241,44816,47370,47465,46586,49227,52019,53505,55399,59674
Utah,1,Personal income (millions of dollars),1909.8,2046.9,2228.1,2315.1,2436.9,2583.2,2751.3,2903.5,3111.6,3406.9,3791.4,4243.1,4741.4,5282.9,5910.4,6590.5,7463.6,8440.5,9711.700000000001,10972.4,12319.3,13892.7,15066.9,16135.2,17820.4,19069.9,20041.9,20994.6,22330,23967.4,25984.9,27864,30125.5,32491.3,35156.8,38308.3,41738.9,45125.2,48227.5,50859.2,54450.8,56922.7,58562.9,60872.6,64886.8,71095.3,79116,86153.10000000001,90386.89999999999,86761.60000000001,89439.2,96356.7,102990.8,106176.2,112620.2,121339.2,127881.4,135658.8,146326.4,157335,169656.3,184896.3
Utah,2,Population (persons) 1/,900000,936000,958000,974000,978000,994000,1009000,1019000,1029000,1047000,1065672,1100733,1134601,1168784,1198793,1233935,1272365,1316421,1364235,1416094,1472595,1515472,1558314,1594943,1622342,1642910,1662833,1678120,1689372,1705865,1731223,1779780,1836799,1898404,1960446,2014177,2067976,2119784,2165960,2203482,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2776094,2818261,2860480,2908068,2950652,2999092,3063043,3125784,3180896,3232701,3281684,3337975
Utah,3,Per capita personal income (dollars) 2/,2122,2187,2326,2377,2492,2599,2727,2849,3024,3254,3558,3855,4179,4520,4930,5341,5866,6412,7119,7748,8366,9167,9669,10116,10984,11607,12053,12511,13218,14050,15010,15656,16401,17115,17933,19019,20183,21288,22266,23081,24260,24925,25190,25792,27018,28927,31327,33165,33941,31858,32218,34190,36005,36511,38168,40459,41750,43400,46002,48670,51698,55392
Vermont,1,Personal income (millions of dollars),768.3,800.8,840.5,871.3,933.7,1022.2,1159.8,1256.1,1382.4,1515.4,1663.9,1802.3,1989.1,2183.9,2364,2591.8,2876,3120.1,3573.4,4015.1,4505.3,5069.1,5502.3,5907.7,6496.3,7041,7574.2,8217.5,8976.799999999999,9917.1,10298,10499.4,11241.7,11680.9,12247.1,12890.2,13585.6,14333.1,15426.6,16303.8,17687.6,18804.8,19212.2,19980.1,21131.3,21666.5,23052,24280.9,25603.9,25291.7,26140,27690.6,28554.4,28964.3,30195.9,31079,31575.6,32406.1,33437.2,34569.6,36894.2,38542.9
Vermont,2,Population (persons) 1/,389000,390000,393000,397000,399000,404000,413000,423000,430000,437000,446323,454357,463214,468533,473138,479894,485144,492174,498284,505711,512524,515594,519108,523302,526658,530035,534066,540267,549763,557708,564798,568606,572751,577748,583836,589002,593701,597239,600416,604683,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,626360,629582,630661,632824,633827,635874,636342,639061,640667,641838,642495,645570
Vermont,3,Per capita personal income (dollars) 2/,1975,2053,2139,2195,2340,2530,2808,2969,3215,3468,3728,3967,4294,4661,4996,5401,5928,6339,7171,7940,8790,9832,10600,11289,12335,13284,14182,15210,16328,17782,18233,18465,19627,20218,20977,21885,22883,23999,25693,26963,29014,30716,31217,32338,34087,34878,37008,38944,41022,40479,41733,43982,45277,45770,47641,48876,49621,50709,52191,53860,57423,59704
Virginia,1,Personal income (millions of dollars),8173.2,8705.5,9395.700000000001,10106.6,11151,12037.5,13026.7,14251.2,15768.2,17847.7,19371.6,21411,23764.2,26612.7,29489.6,32379.8,35770.8,39631.2,44990.4,50182,56726.5,63698.2,68854.8,74239,82638.2,89308.39999999999,96341.5,104064.2,113916.6,123237,129558.2,135041.5,143668.6,150973.3,158882.8,167003.3,175342.4,186845.5,200072.5,214461.2,232469.6,244753.6,251379.6,266597.6,285112.6,304350,325251.8,342962.7,356536,349428.5,365245.5,385984.5,404179.7,401684.3,419329.6,438272.8,449830.1,467437.7,484936.8,502600.8,532256.2,565274.3
