state_id,state,year,foreign_full_born_pew,foreign_pct_overall_pew,unauthorized_k_pew,majority_unauthorized_mexico,unauthorized_cms,unauthorized_cms_entry,eligible_naturalize_total_cms,eligible_naturalize_cms_entry,foreign_citizen_mpi,foreign_noncitizen_mpi,foreign_pct_female_mpi,unauthorized_mpi,unauthorized_female_pct_mpi,unauthorized_latin_pct_mpi
29,Nevada ,2010,508217,18.8,230,1,185691,92191,,,,,,,,
30,New Hampshire ,2010,70698,5.4,10,0,9757,6618,,,,,,,,
31,New Jersey ,2010,1846112,21,475,1,486895,305861,,,,,,,,
32,New Mexico ,2010,208154,10.1,85,1,80757,50400,,,,,,,,
33,New York ,2010,4301158,22.2,800,1,916611,526728,,,,,,,,
34,North Carolina ,2010,719646,7.5,350,1,334939,204453,,,,,,,,
35,North Dakota ,2010,16656,2.5,5,1,779,313,,,,,,,,
36,Ohio ,2010,469067,4.1,100,1,93647,68852,,,,,,,,
37,Oklahoma,2010,209821,5.6,90,1,91904,60654,,,,,,,,
38,Oregon,2010,374361,9.800000000000001,130,1,129622,71305,,,,,,,,
39,Pennsylvania ,2010,727013,5.7,150,1,151286,102567,,,,,,,,
40,Rhode Island,2010,130628,12.4,35,0,24332,16585,,,,,,,,
41,South Carolina ,2010,213211,4.6,100,1,95808,68538,,,,,,,,
42,South Dakota,2010,21182,2.6,5,1,2900,2490,,,,,,,,
43,Tennessee ,2010,289769,4.6,120,1,120404,86024,,,,,,,,
44,Texas ,2010,4139412,16.4,1650,1,1718083,938569,,,,,,,,
45,Utah,2010,230815,8.300000000000001,110,1,91490,47992,,,,,,,,
46,Vermont,2010,27979,4.5,5,1,1500,948,,,,,,,,
47,Virginia,2010,903310,11.3,275,0,251453,168237,,,,,,,,
48,Washington ,2010,894264,13.3,220,1,240216,143356,,,,,,,,
49,West Virginia ,2010,22544,1.2,5,1,2041,1641,,,,,,,,
50,Wisconsin ,2010,251763,4.4,75,1,77625,50386,,,,,,,,
51,Wyoming ,2010,16579,2.9,5,1,5157,4115,,,,,,,,
1,Alabama ,2000,88899,2,35,1,,,,,32200,55572,,,,
2,Alaska ,2000,38212,6.1,5,0,,,,,20011,17159,,,,
3,Arizona ,2000,662174,12.9,350,1,,,,,193944,462239,,,,
4,Arkansas ,2000,72878,2.7,45,1,,,,,22055,51635,,,,
5,California ,2000,8885299,26.2,2250,1,,,,,3473266,5390989,,,,
6,Colorado ,2000,370676,8.6,130,1,,,,,116875,253028,,,,
7,Connecticut ,2000,367558,10.8,50,0,,,,,180267,189700,,,,
8,Delaware ,2000,45381,5.8,15,1,,,,,19052,25846,,,,
9,District of Columbia ,2000,73676,12.9,25,0,,,,,,,,,,
10,Florida ,2000,2666010,16.7,900,0,,,,,1207502,1463326,,,,
11,Georgia ,2000,578636,7.1,170,0,,,,,169232,408041,,,,
12,Hawaii ,2000,213528,17.6,30,0,,,,,127532,84697,,,,
13,Idaho ,2000,64038,4.9,30,1,,,,,21203,42877,,,,
14,Illinois ,2000,1533949,12.4,375,1,,,,,603521,925537,,,,
15,Indiana,2000,190585,3.1,35,1,,,,,70983,115551,,,,
16,Iowa ,2000,90089,3.1,35,1,,,,,29951,61134,,,,
17,Kansas ,2000,136640,5.1,40,1,,,,,44763,89972,,,,
18,Kentucky,2000,78744,1.9,25,0,,,,,27569,52702,,,,
19,Louisiana ,2000,119003,2.7,20,0,,,,,56102,59783,,,,
20,Maine ,2000,36909,2.9,10,1,,,,,20252,16439,,,,
21,Maryland ,2000,516935,9.800000000000001,160,0,,,,,234711,283604,,,,
22,Massachusetts ,2000,771627,12.1,170,0,,,,,337617,435366,,,,
23,Michigan ,2000,521150,5.2,95,0,,,,,239955,283634,,,,
24,Minnesota,2000,256705,5.2,65,1,,,,,97308,163155,,,,
25,Mississippi ,2000,39131,1.4,10,1,,,,,16098,23810,,,,
26,Missouri,2000,152931,2.7,35,0,,,,,61786,89410,,,,
27,Montana,2000,16590,1.8,5,1,,,,,9482,6914,,,,
28,Nebraska ,2000,72910,4.3,35,1,,,,,23918,50720,,,,
29,Nevada ,2000,316830,15.8,170,1,,,,,116786,199807,,,,
30,New Hampshire ,2000,51228,4.1,10,0,,,,,25761,28393,,,,
31,New Jersey ,2000,1471566,17.5,325,1,,,,,682304,794023,,,,
32,New Mexico ,2000,149592,8.199999999999999,55,1,,,,,52103,97503,,,,
33,New York ,2000,3864227,20.4,750,1,,,,,1783744,2084389,,,,
